Global Bindings:
key             binding
key             binding
---             -------

ESC             Prefix Command


;; Bunch of stuff about inserting random symbols.
;; Simple example is left for future reference.
C-x 8           Prefix Command
C-x 8 +         ±
